 iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
109 2013 5 14 0 -999 -999 -999 -999 -999 1.7101 80.4845 7.8543 98.0705 0.0422 155.8203 -999 306.8702 -999 -999 -999 -999 -999 -999 -999
110 2013 5 15 0 -999 -999 -999 -999 -999 1.6764 78.9348 8.0474 98.0203 0.0218 135.54 -999 307.5685 -999 -999 -999 -999 -999 -999 -999
111 2013 5 16 0 -999 -999 -999 -999 -999 1.6814 76.6456 8.1593 98.0017 0.0218 105.5683 -999 302.8184 -999 -999 -999 -999 -999 -999 -999
112 2013 5 17 0 -999 -999 -999 -999 -999 1.6864 74.3882 8.2712 97.9831 0.0218 65.9053 -999 292.6199 -999 -999 -999 -999 -999 -999 -999
113 2013 5 18 0 -999 -999 -999 -999 -999 1.655 74.234 8.1731 98.0127 0.0 26.2422 -999 282.4214 -999 -999 -999 -999 -999 -999 -999
114 2013 5 19 0 -999 -999 -999 -999 -999 1.5871 76.1999 7.8648 98.0904 0.0 0.0 -999 277.8867 -999 -999 -999 -999 -999 -999 -999
115 2013 5 20 0 -999 -999 -999 -999 -999 1.5193 78.2209 7.5565 98.1682 0.0 0.0 -999 279.0156 -999 -999 -999 -999 -999 -999 -999
116 2013 5 21 0 -999 -999 -999 -999 -999 1.4662 79.8504 7.1937 98.2408 0.0 0.0 -999 280.1446 -999 -999 -999 -999 -999 -999 -999
117 2013 5 22 0 -999 -999 -999 -999 -999 1.4278 81.0519 6.7765 98.3083 0.0 0.0 -999 282.6072 -999 -999 -999 -999 -999 -999 -999
118 2013 5 23 0 -999 -999 -999 -999 -999 1.3894 82.2606 6.3591999999999995 98.3757 0.0 0.0 -999 286.4035 -999 -999 -999 -999 -999 -999 -999
119 2013 6 0 0 -999 -999 -999 -999 -999 1.3901 83.6432 6.0705 98.4128 0.0193 0.0 -999 290.1998 -999 -999 -999 -999 -999 -999 -999
120 2013 6 1 0 -999 -999 -999 -999 -999 1.4298 85.2143 5.9102 98.4194 0.0193 0.0 -999 292.1631 -999 -999 -999 -999 -999 -999 -999
121 2013 6 2 0 -999 -999 -999 -999 -999 1.4696 86.8117 5.7498000000000005 98.4261 0.0193 0.0 -999 292.2932 -999 -999 -999 -999 -999 -999 -999
122 2013 6 3 0 -999 -999 -999 -999 -999 1.4961 87.8881 5.6206 98.4133 0.0 0.0 -999 292.4232 -999 -999 -999 -999 -999 -999 -999
123 2013 6 4 0 -999 -999 -999 -999 -999 1.5096 88.4263 5.5222999999999995 98.3812 0.0 0.0 -999 294.8442 -999 -999 -999 -999 -999 -999 -999
124 2013 6 5 0 -999 -999 -999 -999 -999 1.523 88.9683 5.4241 98.349 0.0 0.0 -999 299.556 -999 -999 -999 -999 -999 -999 -999
125 2013 6 6 0 -999 -999 -999 -999 -999 1.5132 89.4636 5.3276 98.3448 0.0 0.0 -999 304.2677 -999 -999 -999 -999 -999 -999 -999
126 2013 6 7 0 -999 -999 -999 -999 -999 1.4803 89.9112 5.2328 98.3685 0.0 0.0 -999 305.7577 -999 -999 -999 -999 -999 -999 -999
127 2013 6 8 0 -999 -999 -999 -999 -999 1.4474 90.3611 5.138 98.3923 0.0 0.0 -999 304.0259 -999 -999 -999 -999 -999 -999 -999
128 2013 6 9 0 -999 -999 -999 -999 -999 1.3818 88.0411 5.4308 98.4044 0.0 84.3378 -999 302.2941 -999 -999 -999 -999 -999 -999 -999
129 2013 6 10 0 -999 -999 -999 -999 -999 1.2836 83.1745 6.1112 98.405 0.0 130.1792 -999 300.4009 -999 -999 -999 -999 -999 -999 -999
130 2013 6 11 0 -999 -999 -999 -999 -999 1.1854 78.592 6.7915 98.4055 0.0 188.1269 -999 298.3461 -999 -999 -999 -999 -999 -999 -999
131 2013 6 12 0 -999 -999 -999 -999 -999 1.0004 75.3822 7.2707 98.3427 0.0425 246.0746 -999 296.2914 -999 -999 -999 -999 -999 -999 -999
132 2013 6 13 0 -999 -999 -999 -999 -999 0.7286 73.384 7.5485 98.2165 0.0425 253.64 -999 297.3847 -999 -999 -999 -999 -999 -999 -999
133 2013 6 14 0 -999 -999 -999 -999 -999 0.4568 71.4391 7.8263 98.0904 0.0425 210.823 -999 301.6261 -999 -999 -999 -999 -999 -999 -999
134 2013 6 15 0 -999 -999 -999 -999 -999 0.4503 69.3257 8.07 98.0047 0.0172 168.006 -999 305.8675 -999 -999 -999 -999 -999 -999 -999
135 2013 6 16 0 -999 -999 -999 -999 -999 0.7093 67.0459 8.279499999999999 97.9594 0.0172 123.1694 -999 305.8121 -999 -999 -999 -999 -999 -999 -999
136 2013 6 17 0 -999 -999 -999 -999 -999 0.9683 64.8202 8.489 97.9142 0.0172 76.3132 -999 301.46 -999 -999 -999 -999 -999 -999 -999
137 2013 6 18 0 -999 -999 -999 -999 -999 1.2172 65.0318 8.4488 97.9187 0.0 29.4569 -999 297.108 -999 -999 -999 -999 -999 -999 -999
138 2013 6 19 0 -999 -999 -999 -999 -999 1.456 67.704 8.158999999999999 97.9729 0.0 0.0 -999 293.6979 -999 -999 -999 -999 -999 -999 -999
139 2013 6 20 0 -999 -999 -999 -999 -999 1.6948 70.4627 7.8692 98.0271 0.0 0.0 -999 291.2299 -999 -999 -999 -999 -999 -999 -999
140 2013 6 21 0 -999 -999 -999 -999 -999 1.7544 73.4522 7.3896 98.0883 0.0 0.0 -999 288.7618 -999 -999 -999 -999 -999 -999 -999
141 2013 6 22 0 -999 -999 -999 -999 -999 1.6345 76.724 6.7203 98.1565 0.0 0.0 -999 288.0016 -999 -999 -999 -999 -999 -999 -999
142 2013 6 23 0 -999 -999 -999 -999 -999 1.5147 80.1607 6.0511 98.2247 0.0 0.0 -999 288.9492 -999 -999 -999 -999 -999 -999 -999
143 2013 7 0 0 -999 -999 -999 -999 -999 1.5052 82.6994 5.5534 98.2682 0.0 0.0 -999 289.8968 -999 -999 -999 -999 -999 -999 -999
144 2013 7 1 0 -999 -999 -999 -999 -999 1.606 84.2338 5.2273 98.2872 0.0 0.0 -999 291.0614 -999 -999 -999 -999 -999 -999 -999
145 2013 7 2 0 -999 -999 -999 -999 -999 1.7068 85.7998 4.9011 98.3061 0.0 0.0 -999 292.4431 -999 -999 -999 -999 -999 -999 -999
146 2013 7 3 0 -999 -999 -999 -999 -999 1.7778 86.8285 4.6895 98.3116 0.0 0.0 -999 293.8248 -999 -999 -999 -999 -999 -999 -999
147 2013 7 4 0 -999 -999 -999 -999 -999 1.8188 87.2975 4.5924 98.3034 0.0 0.0 -999 293.7532 -999 -999 -999 -999 -999 -999 -999
148 2013 7 5 0 -999 -999 -999 -999 -999 1.8599 87.7694 4.4954 98.2953 0.0 0.0 -999 292.2281 -999 -999 -999 -999 -999 -999 -999
149 2013 7 6 0 -999 -999 -999 -999 -999 1.903 87.9965 4.446 98.2907 0.0 0.0 -999 290.7031 -999 -999 -999 -999 -999 -999 -999
150 2013 7 7 0 -999 -999 -999 -999 -999 1.9482 87.9765 4.4444 98.2896 0.0 0.0 -999 289.4691 -999 -999 -999 -999 -999 -999 -999
151 2013 7 8 0 -999 -999 -999 -999 -999 1.9934 87.9565 4.4428 98.2884 0.0 0.0 -999 288.5259 -999 -999 -999 -999 -999 -999 -999
152 2013 7 9 0 -999 -999 -999 -999 -999 2.0205 85.0755 4.9542 98.2907 0.0 91.4457 -999 287.5829 -999 -999 -999 -999 -999 -999 -999
153 2013 7 10 0 -999 -999 -999 -999 -999 2.0294 79.6451 5.9785 98.2964 0.0 137.0705 -999 287.4416 -999 -999 -999 -999 -999 -999 -999
154 2013 7 11 0 -999 -999 -999 -999 -999 2.0384 74.603 7.002800000000001 98.3021 0.0 191.7417 -999 288.1021 -999 -999 -999 -999 -999 -999 -999
155 2013 7 12 0 -999 -999 -999 -999 -999 1.7984 70.276 7.749 98.2329 0.0244 246.4129 -999 288.7627 -999 -999 -999 -999 -999 -999 -999
156 2013 7 13 0 -999 -999 -999 -999 -999 1.3093 66.5321 8.2173 98.089 0.0244 256.8635 -999 290.6031 -999 -999 -999 -999 -999 -999 -999
157 2013 7 14 0 -999 -999 -999 -999 -999 0.8203 62.9679 8.685500000000001 97.945 0.0244 223.0937 -999 293.6233 -999 -999 -999 -999 -999 -999 -999
158 2013 7 15 0 -999 -999 -999 -999 -999 0.7141 60.9917 8.9692 97.8483 0.0 189.3237 -999 296.6435 -999 -999 -999 -999 -999 -999 -999
159 2013 7 16 0 -999 -999 -999 -999 -999 0.9908 60.4779 9.0684 97.7989 0.0 144.7109 -999 299.3019 -999 -999 -999 -999 -999 -999 -999
160 2013 7 17 0 -999 -999 -999 -999 -999 1.2675 59.9687 9.1676 97.7495 0.0 89.2551 -999 301.5983 -999 -999 -999 -999 -999 -999 -999
161 2013 7 18 0 -999 -999 -999 -999 -999 1.3992 60.5566 9.133099999999999 97.7537 0.0 33.7993 -999 303.8948 -999 -999 -999 -999 -999 -999 -999
162 2013 7 19 0 -999 -999 -999 -999 -999 1.3857 62.2632 8.9648 97.8114 0.0 0.0 -999 301.9741 -999 -999 -999 -999 -999 -999 -999
163 2013 7 20 0 -999 -999 -999 -999 -999 1.3723 64.0037 8.7966 97.869 0.0 0.0 -999 295.8361 -999 -999 -999 -999 -999 -999 -999
